series_id,date,year,month,value
CES0000000001,2023-01-01,2023,1,154780.0
CES0000000001,2023-02-01,2023,2,155086.0
CES0000000001,2023-03-01,2023,3,155171.0
CES0000000001,2023-04-01,2023,4,155387.0
CES0000000001,2023-05-01,2023,5,155614.0
CES0000000001,2023-06-01,2023,6,155871.0
CES0000000001,2023-07-01,2023,7,156019.0
CES0000000001,2023-08-01,2023,8,156176.0
CES0000000001,2023-09-01,2023,9,156334.0
CES0000000001,2023-10-01,2023,10,156520.0
CES0000000001,2023-11-01,2023,11,156661.0
CES0000000001,2023-12-01,2023,12,156930.0
CES0000000001,2024-01-01,2024,1,157049.0
CES0000000001,2024-02-01,2024,2,157271.0
CES0000000001,2024-03-01,2024,3,157517.0
CES0000000001,2024-04-01,2024,4,157635.0
CES0000000001,2024-05-01,2024,5,157828.0
CES0000000001,2024-06-01,2024,6,157915.0
CES0000000001,2024-07-01,2024,7,158003.0
CES0000000001,2024-08-01,2024,8,158074.0
CES0000000001,2024-09-01,2024,9,158314.0
CES0000000001,2024-10-01,2024,10,158358.0
CES0000000001,2024-11-01,2024,11,158619.0
CES0000000001,2024-12-01,2024,12,158942.0
CES0000000001,2025-01-01,2025,1,159053.0
CES0000000001,2025-02-01,2025,2,159155.0
CES0000000001,2025-03-01,2025,3,159275.0
CES0000000001,2025-04-01,2025,4,159433.0
CES0000000001,2025-05-01,2025,5,159452.0
CES0000000001,2025-06-01,2025,6,159439.0
CES0000000001,2025-07-01,2025,7,159511.0
CES0000000001,2025-08-01,2025,8,159507.0
CES0000000001,2025-09-01,2025,9,159626.0
CES0500000003,2023-01-01,2023,1,33.05
CES0500000003,2023-02-01,2023,2,33.16
CES0500000003,2023-03-01,2023,3,33.28
CES0500000003,2023-04-01,2023,4,33.42
CES0500000003,2023-05-01,2023,5,33.52
CES0500000003,2023-06-01,2023,6,33.69
CES0500000003,2023-07-01,2023,7,33.84
CES0500000003,2023-08-01,2023,8,33.89
CES0500000003,2023-09-01,2023,9,33.99
CES0500000003,2023-10-01,2023,10,34.07
CES0500000003,2023-11-01,2023,11,34.19
CES0500000003,2023-12-01,2023,12,34.31
CES0500000003,2024-01-01,2024,1,34.47
CES0500000003,2024-02-01,2024,2,34.54
CES0500000003,2024-03-01,2024,3,34.67
CES0500000003,2024-04-01,2024,4,34.75
CES0500000003,2024-05-01,2024,5,34.89
CES0500000003,2024-06-01,2024,6,35.0
CES0500000003,2024-07-01,2024,7,35.07
CES0500000003,2024-08-01,2024,8,35.23
CES0500000003,2024-09-01,2024,9,35.33
CES0500000003,2024-10-01,2024,10,35.48
CES0500000003,2024-11-01,2024,11,35.61
CES0500000003,2024-12-01,2024,12,35.68
CES0500000003,2025-01-01,2025,1,35.83
CES0500000003,2025-02-01,2025,2,35.9
CES0500000003,2025-03-01,2025,3,36.02
CES0500000003,2025-04-01,2025,4,36.08
CES0500000003,2025-05-01,2025,5,36.23
CES0500000003,2025-06-01,2025,6,36.31
CES0500000003,2025-07-01,2025,7,36.43
CES0500000003,2025-08-01,2025,8,36.58
CES0500000003,2025-09-01,2025,9,36.67
CES6562000001,2023-01-01,2023,1,21108.6
CES6562000001,2023-02-01,2023,2,21170.3
CES6562000001,2023-03-01,2023,3,21237.2
CES6562000001,2023-04-01,2023,4,21300.3
CES6562000001,2023-05-01,2023,5,21381.0
CES6562000001,2023-06-01,2023,6,21463.1
CES6562000001,2023-07-01,2023,7,21582.8
CES6562000001,2023-08-01,2023,8,21693.8
CES6562000001,2023-09-01,2023,9,21761.7
CES6562000001,2023-10-01,2023,10,21838.4
CES6562000001,2023-11-01,2023,11,21942.3
CES6562000001,2023-12-01,2023,12,22020.7
CES6562000001,2024-01-01,2024,1,22100.6
CES6562000001,2024-02-01,2024,2,22189.5
CES6562000001,2024-03-01,2024,3,22271.9
CES6562000001,2024-04-01,2024,4,22355.4
CES6562000001,2024-05-01,2024,5,22434.7
CES6562000001,2024-06-01,2024,6,22507.0
CES6562000001,2024-07-01,2024,7,22568.5
CES6562000001,2024-08-01,2024,8,22622.1
CES6562000001,2024-09-01,2024,9,22700.8
CES6562000001,2024-10-01,2024,10,22784.7
CES6562000001,2024-11-01,2024,11,22863.6
CES6562000001,2024-12-01,2024,12,22939.1
CES6562000001,2025-01-01,2025,1,23001.2
CES6562000001,2025-02-01,2025,2,23058.6
CES6562000001,2025-03-01,2025,3,23125.8
CES6562000001,2025-04-01,2025,4,23204.5
CES6562000001,2025-05-01,2025,5,23276.5
CES6562000001,2025-06-01,2025,6,23335.3
CES6562000001,2025-07-01,2025,7,23406.4
CES6562000001,2025-08-01,2025,8,23446.6
CES6562000001,2025-09-01,2025,9,23503.7
CES6562000003,2023-01-01,2023,1,33.01
CES6562000003,2023-02-01,2023,2,33.0
CES6562000003,2023-03-01,2023,3,33.08
CES6562000003,2023-04-01,2023,4,33.2
CES6562000003,2023-05-01,2023,5,33.28
CES6562000003,2023-06-01,2023,6,33.37
CES6562000003,2023-07-01,2023,7,33.48
CES6562000003,2023-08-01,2023,8,33.56
CES6562000003,2023-09-01,2023,9,33.66
CES6562000003,2023-10-01,2023,10,33.74
CES6562000003,2023-11-01,2023,11,33.75
CES6562000003,2023-12-01,2023,12,33.81
CES6562000003,2024-01-01,2024,1,33.91
CES6562000003,2024-02-01,2024,2,34.0
CES6562000003,2024-03-01,2024,3,34.16
CES6562000003,2024-04-01,2024,4,34.28
CES6562000003,2024-05-01,2024,5,34.42
CES6562000003,2024-06-01,2024,6,34.53
CES6562000003,2024-07-01,2024,7,34.63
CES6562000003,2024-08-01,2024,8,34.74
CES6562000003,2024-09-01,2024,9,34.9
CES6562000003,2024-10-01,2024,10,34.96
CES6562000003,2024-11-01,2024,11,35.12
CES6562000003,2024-12-01,2024,12,35.2
CES6562000003,2025-01-01,2025,1,35.35
CES6562000003,2025-02-01,2025,2,35.41
CES6562000003,2025-03-01,2025,3,35.48
CES6562000003,2025-04-01,2025,4,35.6
CES6562000003,2025-05-01,2025,5,35.79
CES6562000003,2025-06-01,2025,6,35.74
CES6562000003,2025-07-01,2025,7,35.82
CES6562000003,2025-08-01,2025,8,36.0
CUUR0000SA0,2023-01-01,2023,1,299.17
CUUR0000SA0,2023-02-01,2023,2,300.84
CUUR0000SA0,2023-03-01,2023,3,301.836
CUUR0000SA0,2023-04-01,2023,4,303.363
CUUR0000SA0,2023-05-01,2023,5,304.127
CUUR0000SA0,2023-06-01,2023,6,305.109
CUUR0000SA0,2023-07-01,2023,7,305.691
CUUR0000SA0,2023-08-01,2023,8,307.026
CUUR0000SA0,2023-09-01,2023,9,307.789
CUUR0000SA0,2023-10-01,2023,10,307.671
CUUR0000SA0,2023-11-01,2023,11,307.051
CUUR0000SA0,2023-12-01,2023,12,306.746
CUUR0000SA0,2024-01-01,2024,1,308.417
CUUR0000SA0,2024-02-01,2024,2,310.326
CUUR0000SA0,2024-03-01,2024,3,312.332
CUUR0000SA0,2024-04-01,2024,4,313.548
CUUR0000SA0,2024-05-01,2024,5,314.069
CUUR0000SA0,2024-06-01,2024,6,314.175
CUUR0000SA0,2024-07-01,2024,7,314.54
CUUR0000SA0,2024-08-01,2024,8,314.796
CUUR0000SA0,2024-09-01,2024,9,315.301
CUUR0000SA0,2024-10-01,2024,10,315.664
CUUR0000SA0,2024-11-01,2024,11,315.493
CUUR0000SA0,2024-12-01,2024,12,315.605
CUUR0000SA0,2025-01-01,2025,1,317.671
CUUR0000SA0,2025-02-01,2025,2,319.082
CUUR0000SA0,2025-03-01,2025,3,319.799
CUUR0000SA0,2025-04-01,2025,4,320.795
CUUR0000SA0,2025-05-01,2025,5,321.465
CUUR0000SA0,2025-06-01,2025,6,322.561
CUUR0000SA0,2025-07-01,2025,7,323.048
CUUR0000SA0,2025-08-01,2025,8,323.976
CUUR0000SA0,2025-09-01,2025,9,324.8
CUUR0000SAM,2023-01-01,2023,1,551.422
CUUR0000SAM,2023-02-01,2023,2,549.487
CUUR0000SAM,2023-03-01,2023,3,547.805
CUUR0000SAM,2023-04-01,2023,4,547.219
CUUR0000SAM,2023-05-01,2023,5,547.42
CUUR0000SAM,2023-06-01,2023,6,547.432
CUUR0000SAM,2023-07-01,2023,7,546.698
CUUR0000SAM,2023-08-01,2023,8,548.082
CUUR0000SAM,2023-09-01,2023,9,548.431
CUUR0000SAM,2023-10-01,2023,10,549.762
CUUR0000SAM,2023-11-01,2023,11,551.769
CUUR0000SAM,2023-12-01,2023,12,553.485
CUUR0000SAM,2024-01-01,2024,1,557.215
CUUR0000SAM,2024-02-01,2024,2,557.236
CUUR0000SAM,2024-03-01,2024,3,559.935
CUUR0000SAM,2024-04-01,2024,4,561.612
CUUR0000SAM,2024-05-01,2024,5,564.249
CUUR0000SAM,2024-06-01,2024,6,565.301
CUUR0000SAM,2024-07-01,2024,7,564.039
CUUR0000SAM,2024-08-01,2024,8,564.407
CUUR0000SAM,2024-09-01,2024,9,566.266
CUUR0000SAM,2024-10-01,2024,10,567.87
CUUR0000SAM,2024-11-01,2024,11,568.773
CUUR0000SAM,2024-12-01,2024,12,569.189
CUUR0000SAM,2025-01-01,2025,1,571.899
CUUR0000SAM,2025-02-01,2025,2,573.32
CUUR0000SAM,2025-03-01,2025,3,574.739
CUUR0000SAM,2025-04-01,2025,4,576.988
CUUR0000SAM,2025-05-01,2025,5,578.25
CUUR0000SAM,2025-06-01,2025,6,580.978
CUUR0000SAM,2025-07-01,2025,7,583.856
CUUR0000SAM,2025-08-01,2025,8,583.875
CUUR0000SAM,2025-09-01,2025,9,584.858
CUUR0000SAM1,2023-01-01,2023,1,395.981
CUUR0000SAM1,2023-02-01,2023,2,396.56
CUUR0000SAM1,2023-03-01,2023,3,398.917
CUUR0000SAM1,2023-04-01,2023,4,400.755
CUUR0000SAM1,2023-05-01,2023,5,403.358
CUUR0000SAM1,2023-06-01,2023,6,404.109
CUUR0000SAM1,2023-07-01,2023,7,406.169
CUUR0000SAM1,2023-08-01,2023,8,408.437
CUUR0000SAM1,2023-09-01,2023,9,407.25
CUUR0000SAM1,2023-10-01,2023,10,408.965
CUUR0000SAM1,2023-11-01,2023,11,410.847
CUUR0000SAM1,2023-12-01,2023,12,410.365
CUUR0000SAM1,2024-01-01,2024,1,407.879
CUUR0000SAM1,2024-02-01,2024,2,408.246
CUUR0000SAM1,2024-03-01,2024,3,408.919
CUUR0000SAM1,2024-04-01,2024,4,410.743
CUUR0000SAM1,2024-05-01,2024,5,416.001
CUUR0000SAM1,2024-06-01,2024,6,416.812
CUUR0000SAM1,2024-07-01,2024,7,417.465
CUUR0000SAM1,2024-08-01,2024,8,416.538
CUUR0000SAM1,2024-09-01,2024,9,413.708
CUUR0000SAM1,2024-10-01,2024,10,412.914
CUUR0000SAM1,2024-11-01,2024,11,412.424
CUUR0000SAM1,2024-12-01,2024,12,412.381
CUUR0000SAM1,2025-01-01,2025,1,417.214
CUUR0000SAM1,2025-02-01,2025,2,417.702
CUUR0000SAM1,2025-03-01,2025,3,412.995
CUUR0000SAM1,2025-04-01,2025,4,414.709
CUUR0000SAM1,2025-05-01,2025,5,417.149
CUUR0000SAM1,2025-06-01,2025,6,417.575
CUUR0000SAM1,2025-07-01,2025,7,417.8
CUUR0000SAM1,2025-08-01,2025,8,416.721
CUUR0000SAM1,2025-09-01,2025,9,416.471
CUUR0000SAM2,2023-01-01,2023,1,601.551
CUUR0000SAM2,2023-02-01,2023,2,598.778
CUUR0000SAM2,2023-03-01,2023,3,595.745
CUUR0000SAM2,2023-04-01,2023,4,594.346
CUUR0000SAM2,2023-05-01,2023,5,593.738
CUUR0000SAM2,2023-06-01,2023,6,593.503
CUUR0000SAM2,2023-07-01,2023,7,591.832
CUUR0000SAM2,2023-08-01,2023,8,592.913
CUUR0000SAM2,2023-09-01,2023,9,593.777
